pos_idx,ra,dec,src_index,num_matches,obs_jd,obs_date,mag,exp_duration_s,n_plates_total,n_study_plates,kp_max_02d,kp_bin,kp_label,nuclear_window
12,172.8,-60.0,4845,1,2433769.392465,1951-05-02,15.15905475616455,,3445,300,7.333,3,G3 (7),False
12,172.8,-60.0,4901,1,2433424.284163,1950-05-22,14.249664306640625,,3404,302,5.0,1,G1 (5),False
12,172.8,-60.0,4903,1,2434898.238084,1954-06-04,13.171283721923828,,3404,302,3.333,0,Quiet (<5),False
12,172.8,-60.0,4910,1,2434545.263015,1953-06-16,13.55609130859375,,3445,300,2.667,0,Quiet (<5),False
12,172.8,-60.0,4958,1,2434902.239831,1954-06-08,12.086861610412598,,3472,310,3.0,0,Quiet (<5),False
12,172.8,-60.0,5036,1,2433440.298106,1950-06-07,15.99493408203125,,3472,310,6.0,2,G2 (6),False
12,172.8,-60.0,5198,1,2433438.311352,1950-06-05,15.334827423095703,,3404,302,4.0,0,Quiet (<5),False
12,172.8,-60.0,5223,1,2434896.24535,1954-06-02,14.423572540283203,,3445,300,3.0,0,Quiet (<5),False
12,172.8,-60.0,5403,1,2434898.238794,1954-06-04,13.417301177978516,,3445,300,3.333,0,Quiet (<5),False
12,172.8,-60.0,5407,1,2434896.265087,1954-06-02,15.224364280700684,,3404,302,3.0,0,Quiet (<5),False
12,172.8,-60.0,5531,1,2433764.411019,1951-04-27,14.933178901672363,,3404,302,5.667,1,G1 (5),False
12,172.8,-60.0,5716,1,2433390.406573,1950-04-18,13.367595672607422,,3404,302,3.667,0,Quiet (<5),False
12,172.8,-60.0,5812,1,2434896.245349,1954-06-02,14.714171409606934,,3445,300,3.0,0,Quiet (<5),False
12,172.8,-60.0,5836,1,2433440.3023,1950-06-07,16.025400161743164,,3445,300,6.0,2,G2 (6),False
12,172.8,-60.0,5887,1,2433740.245472,1951-04-03,13.349258422851562,,3472,310,6.0,2,G2 (6),False
12,172.8,-60.0,5924,1,2434546.24224,1953-06-17,14.215171813964844,,3472,310,3.333,0,Quiet (<5),False
12,172.8,-60.0,5951,1,2434896.273072,1954-06-02,11.588996887207031,,3472,310,3.0,0,Quiet (<5),False
